PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4R,43.7153834,-79.40567840000001,Central Toronto,Subway,43.71681812785994,-79.40013572643659,Sandwich Place
M4R,43.7153834,-79.40567840000001,Central Toronto,Gap,43.71544977487359,-79.40008916661074,Clothing Store
M4R,43.7153834,-79.40567840000001,Central Toronto,St. Clements - Yonge Parkette,43.71206179547874,-79.40425523454469,Park
M4R,43.7153834,-79.40567840000001,Central Toronto,Roots,43.716193862387414,-79.40066099166876,Clothing Store
M4R,43.7153834,-79.40567840000001,Central Toronto,Blo Blow Dry Bar,43.714712,-79.400227,Health & Beauty Service
M4R,43.7153834,-79.40567840000001,Central Toronto,Drake General Store,43.714712809782114,-79.40015650911188,Gift Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Milkcow,43.71590694517564,-79.40012454986572,Ice Cream Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,L’OCCITANE en Provence,43.71438316868002,-79.39998059407827,Cosmetics Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Pet Valu,43.71412602510993,-79.39997509672807,Pet Store
M4R,43.7153834,-79.40567840000001,Central Toronto,Anytime Fitness,43.71765439,-79.40043421,Gym / Fitness Center
M4S,43.7043244,-79.3887901,Central Toronto,Thobors Boulangerie Patisserie Café,43.704513877453266,-79.38861602551758,Café
M4S,43.7043244,-79.3887901,Central Toronto,Jules Cafe Patisserie,43.70413799694304,-79.38841260442167,Dessert Shop
M4S,43.7043244,-79.3887901,Central Toronto,Marigold Indian Bistro,43.702880859375,-79.38800811767578,Indian Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,XO Gelato,43.70517671239303,-79.3887930388649,Dessert Shop
M4S,43.7043244,-79.3887901,Central Toronto,Viva Napoli,43.70575225315343,-79.38912464296774,Pizza Place
M4S,43.7043244,-79.3887901,Central Toronto,Sakae Sushi,43.70494407149989,-79.38870408604551,Sushi Restaurant
